zipcode,population,poverty_rate,median_income,median_gross_rent,rent_burden
49410,1837,0.16603157321720197,50750,100,0.0019704433497536944
49411,1572,0.12659033078880408,52727,39,0.0007396589982361977
49412,12180,0.16995073891625614,59205,799,0.013495481800523604
49415,6529,0.06478786950528412,74665,109,0.00145985401459854
49417,33104,0.06654784920251329,79710,3065,0.03845188809434199
49418,30419,0.07238896742167725,82661,3094,0.03742998511994774
49419,8483,0.0648355534598609,89681,323,0.003601654754072769
49420,6145,0.1406021155410903,58142,460,0.007911664545423275
49421,5823,0.15078138416623735,52888,281,0.005313114506126153
49423,46467,0.08608259625110293,75164,4769,0.0634479271991911
49424,48493,0.07939290206833977,79616,4652,0.058430466237942125
49425,3510,0.13675213675213677,62723,179,0.0028538175788785612
49426,40410,0.03335807968324672,103705,1346,0.012979123475242273
49428,27793,0.04612672255603929,86414,1600,0.018515518318790936
49430,50,0.0,-666666666,0,-0.0
49431,17121,0.13147596518894925,62715,1995,0.03181057163358048
49434,14,0.0,-666666666,0,-0.0
49435,3983,0.0492091388400703,87176,121,0.0013879966963384418
49436,1672,0.08074162679425838,63306,79,0.0012479069914384103
49437,6515,0.06584804297774367,75923,333,0.004386022680874044
49440,1297,0.2945258288357749,31218,515,0.016496892818245883
49441,36649,0.10464132718491637,62921,3940,0.06261820377934235
49442,45137,0.1540421383787137,47551,5157,0.10845197787638536
49443,67,0.0,-666666666,0,-0.0
49444,26309,0.2065072788779505,50162,2915,0.05811171803357123
49445,21611,0.061265096478645135,83663,845,0.010100044225045719
49446,2349,0.15964240102171137,67273,112,0.0016648581154400726
49448,4405,0.04108967082860386,79477,278,0.003497867307522931
49449,2703,0.10025897151313355,73102,135,0.0018467346994610271
49450,3062,0.25310254735467014,46544,313,0.006724819525610175
49451,6386,0.10476041340432195,67326,251,0.003728128806107596
49452,2231,0.20170327207530256,55536,69,0.0012424373379429558
49453,2746,0.045884923525127456,94931,178,0.0018750460861046445
49454,4783,0.15638720468325318,56000,438,0.007821428571428571
49455,5149,0.10720528257914158,57857,374,0.006464213491885165
49456,19568,0.04783319705641864,83477,1491,0.017861207278651606
49457,11119,0.11943520100728483,71649,329,0.004591829613811777
49458,134,0.08208955223880597,55000,3,5.4545454545454546e-05
49459,1647,0.2647237401335762,55114,84,0.0015241136553325835
49460,8987,0.03694224991654612,94310,274,0.0029053122680521683
49461,9362,0.08534501174962615,74545,486,0.006519551948487491
49464,29027,0.034864092052227236,94466,1248,0.013211102407215295
49503,37471,0.2205438872728243,58165,10531,0.18105389839250408
49504,40686,0.17458093693162266,64317,7121,0.11071722872646424
49505,32325,0.15242072699149264,67838,4987,0.07351337008756155
49506,33877,0.06665289134220857,106971,2982,0.02787671424965645
49507,39899,0.26629740093736687,52887,5072,0.09590258475617827
49508,42515,0.1019169704810067,62183,6486,0.10430503513822106
49509,28549,0.11755227853865284,59941,3301,0.05507081963931199
49512,19141,0.06812601222506662,65640,4881,0.0743601462522852
49519,28070,0.11311008193801211,68164,4548,0.06672143653541458
49525,30509,0.07748533219705661,88200,2464,0.027936507936507936
49534,23008,0.05363351877607789,77698,3071,0.03952482689387114
49544,9977,0.1132604991480405,66250,1626,0.024543396226415094
49546,34308,0.0723154949282966,92095,4123,0.04476898854443781
49548,34615,0.13927488083200926,58593,3518,0.060041301861997166
49601,22300,0.12771300448430492,61186,1936,0.0316412251168568
49611,403,0.052109181141439205,76538,8,0.00010452324335624134
49612,1400,0.07071428571428572,76786,90,0.0011720886619956763
